Country,customers,revenue
United Kingdom,3920,7285024.644
Netherlands,9,285446.34
EIRE,3,265262.46
Germany,94,228678.4
France,87,208934.31
Australia,9,138453.81
Spain,30,61558.56
Switzerland,21,56443.95
Belgium,25,41196.34
Sweden,8,38367.83
Japan,8,37416.369999999995
Norway,10,36165.44
Portugal,19,33375.840000000004
Finland,12,22546.08
Singapore,1,21279.29
Channel Islands,9,20440.54
Denmark,9,18955.34
Italy,14,17483.24
Cyprus,8,13502.85
Austria,11,10198.68
Poland,6,7334.65
Israel,3,7215.84
Greece,4,4760.52
Iceland,1,4310.0
Canada,4,3666.38
USA,4,3580.39
Malta,2,2725.59
Unspecified,4,2660.77
United Arab Emirates,2,1902.28
Lebanon,1,1693.88
Lithuania,1,1661.06
European Community,1,1300.25
Brazil,1,1143.6
RSA,1,1002.3100000000001
Czech Republic,1,826.74
Bahrain,2,548.4
Saudi Arabia,1,145.92
